iter	Logloss
0	0.6879809285
1	0.682750495
2	0.6776942986
3	0.6726470936
4	0.6676988104
5	0.6628261279
6	0.6579099758
7	0.6532310076
8	0.6485333647
9	0.6439115138
10	0.6393190411
11	0.6347642782
12	0.630239508
13	0.6258175951
14	0.6213828434
15	0.6171138521
16	0.6129118966
17	0.6087279424
18	0.6045975802
19	0.6004755852
20	0.5963979658
21	0.5924238279
22	0.5884831171
23	0.5846146943
24	0.5808013242
25	0.5770268791
26	0.5732973339
27	0.5695834443
28	0.5659046076
29	0.5623507221
30	0.5587182483
31	0.5552266082
32	0.5517847546
33	0.5483413213
34	0.5448816304
35	0.5415687216
36	0.5383267343
37	0.5350119449
38	0.5318142101
39	0.5286162856
40	0.5255070301
41	0.522430597
42	0.5194340674
43	0.5164171608
44	0.5133978609
45	0.5104453411
46	0.5075075201
47	0.5046425358
48	0.5018270023
49	0.4990239611
50	0.496246699
51	0.4934742595
52	0.4908105732
53	0.488133597
54	0.4855204474
55	0.4829058601
56	0.4803174173
57	0.4778066665
58	0.4752705718
59	0.472837433
60	0.4703658489
61	0.4679797263
62	0.4656034689
63	0.4632476778
64	0.4609170208
65	0.4586071987
66	0.4563021061
67	0.4540696152
68	0.4518635015
69	0.4496926596
70	0.4475372579
71	0.4453776864
72	0.4432844724
73	0.4412512656
74	0.4392387341
75	0.4372750419
76	0.4352759573
77	0.4333008287
78	0.4313300748
79	0.4294490526
80	0.4276098228
81	0.4257432309
82	0.4239271896
83	0.4220902386
84	0.4202647804
85	0.4185106612
86	0.4167411855
87	0.4150459609
88	0.4133636483
89	0.411605103
90	0.4099513507
91	0.4082941356
92	0.4066974382
93	0.4051070534
94	0.4035523882
95	0.4019641285
96	0.4003764579
97	0.3988756443
98	0.3973870594
99	0.3958789684
100	0.3944325883
101	0.3930040976
102	0.3915588531
103	0.3901124882
104	0.3887159106
105	0.3873319355
106	0.3859881069
107	0.3846302545
108	0.3832818701
109	0.3820005862
110	0.3807096786
111	0.3794608643
112	0.3781669149
113	0.376911547
114	0.3756663406
115	0.3744601475
116	0.3732533886
117	0.372074117
118	0.3709154802
119	0.3697829262
120	0.3686593958
121	0.3674828603
122	0.3663378993
123	0.3652360008
124	0.3641411363
125	0.3630892706
126	0.362027789
127	0.3610118722
128	0.3599960987
129	0.358997677
130	0.3579750341
131	0.3569892128
132	0.3559759118
133	0.3549998162
134	0.3540156941
135	0.3530740556
136	0.3521509494
137	0.351195931
138	0.3502847123
139	0.3493688437
140	0.3484969794
141	0.347617584
142	0.3467732086
143	0.3459150723
144	0.3450392701
145	0.3442101549
146	0.343349698
147	0.3424744173
148	0.3416302006
149	0.3408084841
150	0.3400200449
151	0.3392375639
152	0.3384639861
153	0.3376880074
154	0.336922538
155	0.3361375092
156	0.3353986401
157	0.3346627035
158	0.3339574516
159	0.333263306
160	0.3325679644
161	0.3318736544
162	0.3311989035
163	0.3305395472
164	0.3298460371
165	0.329160555
166	0.3285117251
167	0.3278767049
168	0.3272248163
169	0.326603803
170	0.3260102637
171	0.3253739057
172	0.3247517043
173	0.3241679359
174	0.3235645825
175	0.3229735859
176	0.3223994049
177	0.3217996613
178	0.3212487294
179	0.3206791659
180	0.3200901117
181	0.319533952
182	0.3189911684
183	0.3184530612
184	0.3179108975
185	0.3173702933
186	0.3168572443
187	0.3163284568
188	0.3158311822
189	0.3153239827
190	0.3148331362
191	0.314342546
192	0.3138627268
193	0.3133722418
194	0.3128949807
195	0.3124157471
196	0.3119483987
197	0.311515569
198	0.3110755531
199	0.3106362581
200	0.3101792591
201	0.3097248496
202	0.3092889796
203	0.3088657916
204	0.3084375451
205	0.3080112697
206	0.3076150716
207	0.3071891025
208	0.3067799979
209	0.306362049
210	0.3059674397
211	0.3055827537
212	0.305168962
213	0.3048000673
214	0.3044399301
215	0.3040547861
216	0.3036859778
217	0.3033078099
218	0.3029335408
219	0.3025800409
220	0.3022404713
221	0.3019174775
222	0.3015560384
223	0.3012122864
224	0.3008587937
225	0.3005272452
226	0.3001812436
227	0.2998662785
228	0.2995364622
229	0.2992067668
230	0.2988976524
231	0.2985648129
232	0.2982667733
233	0.2979708986
234	0.297680006
235	0.2973677856
236	0.2970840243
237	0.2967994802
238	0.2965281262
239	0.2962528839
240	0.2959891205
241	0.2957087328
242	0.2954312239
243	0.2951623587
244	0.2948729105
245	0.2945972146
246	0.2943306402
247	0.2940539893
248	0.2937891393
249	0.2935329022
250	0.2932692231
251	0.2930230809
252	0.292770161
253	0.2925129688
254	0.292256662
255	0.2920243048
256	0.2917764353
257	0.2915598207
258	0.2913325321
259	0.291109308
260	0.2908772956
261	0.2906579717
262	0.2904318487
263	0.2902240253
264	0.2899890238
265	0.2898019644
266	0.2895820224
267	0.2893779753
268	0.2891737742
269	0.2889682924
270	0.2887416701
271	0.2885269281
272	0.2883422552
273	0.2881442061
274	0.2879485495
275	0.2877418534
276	0.2875327536
277	0.2873316973
278	0.2871387299
279	0.2869442995
280	0.2867536662
281	0.2865534021
282	0.2863871039
283	0.286193234
284	0.2860173105
285	0.2858344264
286	0.2856486971
287	0.2854675309
288	0.2853087023
289	0.2851226109
290	0.2849633127
291	0.2848144768
292	0.2846481098
293	0.2844805964
294	0.2843203995
295	0.2841563799
296	0.2840058692
297	0.283852929
298	0.2836904336
299	0.2835403197
300	0.283374667
301	0.283214956
302	0.2830712982
303	0.2829149866
304	0.2827700058
305	0.2826155076
306	0.2824690232
307	0.2823207132
308	0.2821773155
309	0.2820368164
310	0.2818957476
311	0.2817519655
312	0.2816027419
313	0.2814742024
314	0.2813399904
315	0.2812150745
316	0.2810854018
317	0.2809544101
318	0.280818461
319	0.2806933006
320	0.2805544911
321	0.2804415779
322	0.28032859
323	0.2802028636
324	0.280079669
325	0.2799626187
326	0.2798351543
327	0.2797164586
328	0.2796068551
329	0.2794847335
330	0.2793687323
331	0.2792605703
332	0.2791582066
333	0.279049612
334	0.2789359005
335	0.2788287721
336	0.2787279335
337	0.2786195519
338	0.2785134816
339	0.2784085567
340	0.278299765
341	0.2781980509
342	0.2781024889
343	0.2779886837
344	0.2778909414
345	0.2777976114
346	0.2776948809
347	0.2776041205
348	0.2775135178
349	0.2774145011
350	0.2773279405
351	0.2772441262
352	0.2771551699
353	0.2770583446
354	0.2769664136
355	0.276867678
356	0.276776501
357	0.276692638
358	0.276600909
359	0.2765123862
360	0.276436179
361	0.2763504804
362	0.2762816662
363	0.2762043553
364	0.2761230615
365	0.2760407874
366	0.2759675267
367	0.2758839138
368	0.2757954031
369	0.2757234424
370	0.2756526774
371	0.2755675664
372	0.2754889235
373	0.2754097875
374	0.2753319005
375	0.2752561388
376	0.275180281
377	0.2751031652
378	0.2750283665
379	0.2749581377
380	0.2748919804
381	0.274826488
382	0.2747546884
383	0.2746951644
384	0.2746214884
385	0.2745539783
386	0.2744772097
387	0.2744071632
388	0.2743459845
389	0.2742741064
390	0.2742122209
391	0.2741479618
392	0.2740820801
393	0.2740202421
394	0.2739582
395	0.2738905851
396	0.2738315993
397	0.2737666151
398	0.2737096179
399	0.2736600452
400	0.2735944129
401	0.2735337341
402	0.273471824
403	0.2734051947
404	0.273349882
405	0.2732936325
406	0.2732336263
407	0.273175532
408	0.2731206911
409	0.2730547337
410	0.2730049697
411	0.2729465236
412	0.2728994566
413	0.2728450055
414	0.2728001304
415	0.2727444323
416	0.272694646
417	0.2726407751
418	0.2725864721
419	0.2725307219
420	0.2724732457
421	0.2724226313
422	0.2723701094
423	0.2723143252
424	0.2722693945
425	0.2722270312
426	0.272183635
427	0.2721377671
428	0.2720971041
429	0.2720498605
430	0.2720024502
431	0.271961318
432	0.2719092937
433	0.2718616167
434	0.2718178123
435	0.2717761955
436	0.2717344203
